deployment_id,commit_date,deployment_date,status,recovery_hours
D001,2026-08-01 09:00,2026-08-01 11:00,Success,0
D002,2026-08-02 10:00,2026-08-02 13:00,Success,0
D003,2026-08-03 08:00,2026-08-03 12:00,Failure,2
D004,2026-08-04 09:00,2026-08-04 10:00,Success,0
D005,2026-08-05 11:00,2026-08-05 15:00,Success,0
D006,2026-08-07 08:00,2026-08-07 12:00,Success,0
D007,2026-08-08 09:00,2026-08-08 14:00,Failure,3
D008,2026-08-09 10:00,2026-08-09 12:00,Success,0
D009,2026-08-11 08:00,2026-08-11 11:00,Success,0
D010,2026-08-12 09:00,2026-08-12 13:00,Success,0
